Société_de_facturation;Société_de_livraison;Code_avancement;Numéro_de_commande;Numéro_de_version;Date_accordée_au_client
01;01;M;C01/NZW288A;2020-11-25-07.51.28.138000;04/01/2021
01;01;M;C01/NZW288C;2020-11-25-07.51.28.185000;04/01/2021
01;01;M;C01/QBF814;2020-11-25-07.51.28.329000;08/12/2020
01;01;M;C01/QBT820;2020-11-25-07.51.28.407000;08/12/2020
01;01;M;C01/QBX193;2020-11-25-07.51.28.469000;08/12/2020
01;01;M;C01/QCJ549A;2020-11-25-07.51.28.617000;01/02/2021
01;01;M;C01/QCJ726A;2020-11-25-07.51.28.792000;08/12/2020
01;01;M;C01/QCK736;2020-11-25-07.51.28.876000;16/12/2020
01;01;M;C01/QCN245;2020-11-25-07.51.28.953000;08/12/2020
01;01;M;C01/QEA171A;2020-11-25-07.51.29.209000;08/12/2020
01;01;M;C01/QEA269C;2020-11-25-07.51.29.283000;18/12/2020
01;01;M;C01/QEB495B;2020-11-25-07.51.29.372000;16/12/2020
01;01;M;C01/QEH638;2020-11-25-07.51.29.465000;15/12/2020
01;01;M;C01/QEJ011A;2020-11-25-07.51.29.551000;02/12/2020
01;01;M;C01/QEK666;2020-11-25-07.51.29.617000;02/12/2020
01;01;M;C01/QEL839;2020-11-25-07.51.29.684000;02/12/2020
01;01;A;C01/QEM861;2020-11-25-07.51.29.741000;25/11/2020
01;01;M;C01/QEP196;2020-11-25-07.51.29.806000;02/12/2020
01;01;M;C01/QEP196A;2020-11-25-07.51.29.874000;02/12/2020
01;01;M;C01/QES396;2020-11-25-07.51.29.979000;26/11/2020
01;01;C;C01/QES400;2020-11-25-07.51.30.113000;26/11/2020
01;01;C;C01/QES401A;2020-11-25-07.51.30.255000;26/11/2020
01;01;C;C01/QES444;2020-11-25-07.51.30.411000;26/11/2020
01;01;C;C01/QES449;2020-11-25-07.51.30.589000;26/11/2020
01;01;C;C01/QDS777B;2020-11-25-07.54.46.301000;26/11/2020
01;01;C;C01/QES436;2020-11-25-07.54.46.604000;26/11/2020
01;01;C;C01/QES452;2020-11-25-07.54.46.709000;07/12/2020
01;01;C;C01/QES459;2020-11-25-07.54.46.876000;26/11/2020
01;01;C;C01/QES460;2020-11-25-07.54.47.032000;26/11/2020
01;01;C;C01/QES461;2020-11-25-07.54.47.115000;02/12/2020
01;01;C;C01/QES479;2020-11-25-07.54.47.305000;26/11/2020
01;01;C;C01/QEG720A;2020-11-25-07.58.02.882000;26/11/2020
01;01;M;C01/QEJ254A;2020-11-25-07.58.03.060000;26/11/2020
